0030 LSRC RUR1TPP QSQLSRC TP
0030 LOBJ RUR4TLV *ALL TP
0030 LCMP RUR1TPD *ALL TP
0030 LCMP RUR1TPP *ALL TP
0030 LCMP RUR4TPV *ALL TP
0030 LCMP RUR1TPI *ALL TP
0030 LCMP RUR1TPE *ALL TP
0030 LREF RUR1TPP *ALL TP
0030 LREF RUR4TPV *ALL TP
0030 LREF RUR1TPI *ALL TP
0030 LREF RUR1TPE *ALL TP
0031 LSRC MAR1TLS R1SRC T
0031 LSRC MAR1TLS QRPGLESRC T
0031 LSRC MAR1TPP QSQLSRC TP
0031 LCMP MAR1TPD *ALL TP
0031 LCMP MAR1TPP *ALL TP
0031 LCMP MAR4TPV *ALL TP
0031 LCMP MAR1TPI *ALL TP
0031 LCMP MAR1TPE *ALL TP
0031 LREF MAR1TPP *ALL TP
0031 LREF MAR4TPV *ALL TP
0031 LREF MAR1TPI *ALL TP
0031 LREF MAR1TPE *ALL TP
0032 LSRC ZAR1TLS R1SRC T
0032 LSRC ZAR1TLS QRPGLESRC T
0032 LSRC ZAR1TPP QSQLSRC TP
0032 LCMP ZAR1TPD *ALL TP
0032 LCMP ZAR1TPP *ALL TP
0032 LCMP ZAR4TPV *ALL TP
0032 LCMP ZAR1TPI *ALL TP
0032 LCMP ZAR1TPE *ALL TP
0032 LREF ZAR1TPP *ALL TP
0032 LREF ZAR4TPV *ALL TP
0032 LREF ZAR1TPI *ALL TP
0032 LREF ZAR1TPE *ALL TP
0033 LSRC TRR1WLS R1SRC T
0033 LSRC TRR1WLS QRPGLESRC T
0033 LSRC TRR1WPP QSQLSRC TP
0033 LCMP TRR1WPD *ALL TP
0033 LCMP TRR1WPP *ALL TP
0033 LCMP TRR4WPV *ALL TP
0033 LCMP TRR1WPI *ALL TP
0033 LCMP TRR1WPE *ALL TP
0033 LREF TRR1WPP *ALL TP
0033 LREF TRR4WPV *ALL TP
0033 LREF TRR1WPI *ALL TP
0033 LREF TRR1WPE *ALL TP
0034 LSRC TRR1ELS R1SRC T
0034 LSRC TRR1ELS QRPGLESRC T
0034 LSRC TRR1EPP QSQLSRC TP
0034 LCMP TRR1EPD *ALL TP
0034 LCMP TRR1EPP *ALL TP
0034 LCMP TRR1EPI *ALL TP
0034 LCMP TRR1EPE *ALL TP
0034 LREF TRR1EPP *ALL TP
0034 LREF TRR1EPI *ALL TP
0034 LREF TRR1EPE *ALL TP
